Win,Month,Day,Year,Weekday,Time,RoadTeam,Locale,HomeTeam,Conference,RoadTeamPoints,OT
0,Jan,23,2018,Tue,7:00 pm/est,Vanderbilt,@,Tennessee (22),SEC,62,
0,Mar,1,2017,Wed,6:30 pm/est,Auburn,@,Georgia,SEC,78,
0,Feb,27,2017,Mon,9:00 pm/est,Oklahoma,@,Kansas (1),Big 12,63,
0,Feb,13,2016,Sat,6:30 pm/est,Oregon State,@,University of California,Pac-12,71,
0,Jan,5,2016,Tue,7:00 pm/est,Minnesota,@,Penn State,Big Ten,77,
0,Jan,17,2018,Wed,9:00 pm/est,Tennessee,@,Missouri,SEC,55,
0,Jan,16,2016,Sat,6:00 pm/est,Alabama,@,Vanderbilt,SEC,63,
1,Mar,4,2015,Wed,9:15 pm/est,St. John's,@,Marquette,Big East,67,
0,Mar,5,2016,Sat,12:00 pm/est,Ohio State,@,Michigan State (2),Big Ten,76,
1,Feb,11,2017,Sat,8:30 pm/est,Arkansas,@,Louisiana State,SEC,78,
1,Jan,18,2016,Mon,7:00 pm/est,Purdue,@,Rutgers,Big Ten,107,
0,Jan,26,2017,Thu,8:00 pm/est,Nebraska,@,Northwestern,Big Ten,61,
1,Mar,7,2015,Sat,8:30 pm/est,Iowa State,@,Texas Christian,Big 12,89,
0,Feb,7,2015,Sat,4:00 pm/est,Nebraska,@,Penn State,Big Ten,43,
0,Jan,17,2017,Tue,7:00 pm/est,Texas,@,Baylor (6),Big 12,64,
1,Feb,24,2015,Tue,8:00 pm/est,NC State,@,North Carolina (15),ACC,58,
0,Jan,9,2018,Tue,7:00 pm/est,South Carolina,@,Alabama,SEC,62,
1,Mar,4,2015,Wed,7:00 pm/est,Notre Dame,@,Louisville (16),ACC,71,
1,Dec,30,2016,Fri,9:00 pm/est,Arizona State,@,Stanford,Pac-12,98,
0,Feb,23,2017,Thu,9:00 pm/est,Wisconsin,@,Ohio State,Big Ten,73,
0,Jan,24,2016,Sun,1:00 pm/est,Purdue,@,Iowa (9),Big Ten,71,
1,Jan,13,2015,Tue,9:00 pm/est,Iowa,@,Minnesota,Big Ten,77,
0,Mar,3,2015,Tue,9:00 pm/est,Auburn,@,Missouri,SEC,61,
1,Feb,21,2015,Sat,8:00 pm/est,Georgia,@,Alabama,SEC,66,OT
1,Jan,10,2015,Sat,12:00 pm/est,Clemson,@,Pittsburgh,ACC,71,
1,Feb,13,2016,Sat,8:00 pm/est,Georgia,@,Mississippi State,SEC,66,
0,Feb,24,2016,Wed,9:00 pm/est,Tennessee,@,South Carolina,SEC,58,
1,Jan,2,2016,Sat,10:01 pm/est,Villanova,@,Creighton,Big East,85,
0,Feb,10,2018,Sat,12:00 pm/est,Marquette,@,St. John's (NY),Big East,78,
1,Feb,23,2017,Thu,11:00 pm/est,Utah,@,Colorado,Pac-12,86,
1,Feb,21,2017,Tue,9:00 pm/est,Kentucky,@,Missouri,SEC,72,
0,Feb,15,2018,Thu,9:00 pm/est,Oregon,@,Southern California,Pac-12,70,
0,Feb,24,2018,Sat,8:15 pm/est,Missouri,@,Kentucky,SEC,66,
0,Jan,4,2017,Wed,7:00 pm/est,Miami,@,Syracuse,ACC,55,
0,Jan,2,2015,Fri,3:00 pm/est,Washington State,@,Stanford,Pac-12,56,
0,Jan,24,2015,Sat,4:00 pm/est,UCLA,@,Oregon,Pac-12,64,
0,Feb,6,2016,Sat,12:00 pm/est,Boston College,@,Louisville (19),ACC,47,
0,Mar,2,2018,Fri,9:00 pm/est,Iowa State,@,Oklahoma,Big 12,60,
1,Feb,22,2017,Wed,6:30 pm/est,Vanderbilt,@,Tennessee,SEC,67,
0,Jan,2,2018,Tue,7:00 pm/est,Penn State,@,Maryland,Big Ten,69,
